coding_hours,commits_per_day,lines_of_code,bugs_fixed,sleep_hours,distractions,task_completion_rate,meetings_per_day,break_time,focus_score,productivity_level
4.18,1.88,145,1.37,6.71,6.02,0.5769,2.73,35.7,60.93,Low
3.55,1.76,114,0.49,6.69,2.39,0.4513,2.08,21.5,50.76,Low
4.34,2.99,164,1.38,6.85,3.54,0.8531,0.89,40.15,50.35,Medium
6.68,4.76,250,2.79,7.85,2.65,0.8855,1.08,31.71,78.64,Medium
1.26,0.28,123,1.83,7.84,5.38,0.7012,2.41,36.32,31.59,Low
3.79,2.24,165,1.27,6.27,5.62,0.4035,3.89,26.09,39.95,Low
7.16,1.66,263,2.34,8.59,3.55,0.8073,1.04,20.69,53.7,Medium
4.55,2.52,148,2.81,6.76,3.8,0.5203,2.57,24.01,77.1,Medium
3.85,0.81,158,0.37,6.09,5.15,0.3251,1.81,23.35,40.64,Low
6.21,3.45,160,2.26,7.93,3.57,0.7987,1.95,46.39,79.81,Medium
1.14,1.33,111,0.4,7.51,4.78,0.3551,3.65,36.69,51.08,Low
2.15,0.0,131,0.97,7.45,6.88,0.5988,2.9,43.91,47.5,Low
3.56,1.38,177,1.1,6.07,3.67,0.4241,0.69,47.75,47.77,Low
0.0,0.0,41,0.0,5.67,9.14,0.012,2.0,15.09,10.84,Low
1.55,0.0,31,0.0,6.8,7.62,0.1209,3.77,19.49,29.36,Low
2.64,0.58,71,1.63,6.75,5.06,0.3812,2.31,23.08,40.85,Low
1.66,0.0,156,0.0,5.63,7.45,0.3897,1.16,18.22,21.41,Low
2.22,3.17,183,0.66,7.52,3.44,0.6079,1.09,13.16,39.55,Low
2.95,0.12,71,1.97,5.97,7.32,0.2768,2.98,25.31,26.79,Low
0.0,0.0,76,0.65,7.73,7.44,0.2042,3.42,10.08,47.03,Low
7.0,6.37,277,0.26,8.97,1.91,0.7612,1.58,36.99,94.12,Medium
3.88,0.24,148,0.37,7.37,6.13,0.3634,4.54,50.03,48.66,Low
5.77,0.25,255,0.0,8.12,5.72,0.4247,2.8,25.24,52.5,Medium
0.0,0.65,25,0.0,6.34,8.87,0.3178,2.18,24.82,25.27,Low
0.0,0.5,94,0.0,7.34,7.27,0.2083,1.35,36.34,32.49,Low
4.44,1.85,164,0.98,8.24,5.57,0.6839,0.99,33.36,65.42,Medium
3.86,0.0,101,0.0,6.62,5.04,0.2355,2.68,27.17,51.47,Low
6.24,2.3,120,1.35,6.98,8.11,0.4979,1.4,28.25,46.7,Medium
3.05,2.7,23,0.0,5.34,3.8,0.4538,3.85,24.68,40.16,Low
2.83,2.36,103,0.83,6.79,6.86,0.5902,3.55,18.94,41.13,Low
3.77,1.96,37,0.19,7.36,6.55,0.4914,2.81,35.45,36.77,Low
6.54,3.36,281,3.68,8.68,0.46,0.9206,0.27,21.85,89.64,Medium
4.54,0.83,169,2.12,7.4,4.83,0.606,1.33,39.64,36.68,Medium
2.49,0.0,30,0.78,6.04,6.47,0.1168,3.57,10.67,38.8,Low
6.92,2.42,159,1.4,5.83,5.72,0.6123,1.19,43.74,69.62,Medium
4.87,1.13,55,1.61,5.99,5.76,0.1647,3.49,20.36,30.27,Low
4.89,2.83,201,0.0,6.86,4.29,0.6642,2.41,18.73,62.06,Medium
0.0,0.0,10,0.0,5.77,4.44,0.0697,2.64,25.99,22.08,Low
1.31,0.0,77,0.0,6.83,9.59,0.3189,1.7,32.65,42.25,Low
2.27,1.61,198,2.96,8.69,3.1,0.593,1.85,26.6,37.73,Medium
4.64,3.31,247,1.43,7.47,4.38,0.5615,1.97,40.9,57.59,Medium
3.85,3.02,212,0.99,6.91,4.59,0.4756,2.98,8.01,51.85,Medium
